gridcode,eco
1,4
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,2
21,2
22,1
23,1
24,1
25,2
26,1
27,2
28,2
29,1
30,1
31,2
32,2
33,2
34,2
35,2
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,3
45,1
46,1
47,3
48,3
49,3
50,3
51,4
52,3
53,4
54,3
55,3
56,4
57,4
58,4
59,3
60,3
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,5
74,4
75,4
76,4
77,4
78,4
79,4
80,5
81,5
82,4
83,4
84,5
85,6
86,6
87,7
88,6
89,6
90,6
91,6
92,8
93,6
94,7
95,8
96,7
97,7
98,7
99,5
100,5
101,7
102,7
103,7
104,7
105,7
106,7
107,7
108,7
109,7
110,7
111,7
112,7
113,7
114,7
115,5
116,1
117,5
118,1
119,5